sample,altitude_m,ambient_temp_c,air_density_kg_m3,throttle,rpm,egt_c,cht_c,oil_pressure_psi,oil_temperature_c,fuel_flow,engine_load,vibration_rms_g,injection_timing_deg,battery_voltage_v,alternator_current_a,fault_severity,fault,health_state
56,4688.08,16.14,0.7613,0.312,3074.48,520.69,113.52,38.48,80.15,7.07,0.283,0.02862188688404239,24.097627093312763,14.079249570246482,14.165263296745332,0.0,NORMAL,NORMAL
57,1936.1,35.84,1.013,0.531,3930.64,577.02,143.65,45.24,95.08,12.7,0.508,0.030321242816095193,23.453911928586926,14.012475984509786,17.10818185059133,0.0,NORMAL,NORMAL
58,308.95,17.73,1.1891,0.263,2992.41,515.29,112.37,37.83,79.77,6.53,0.261,0.02632702339202641,24.525183527733155,13.992484382804845,13.42862023205392,0.0,NORMAL,NORMAL
59,1956.57,21.62,1.0109,0.513,3864.89,572.69,134.98,44.72,90.12,12.27,0.491,0.030068968345615607,24.120262868818532,14.076921913589448,18.232848485302892,0.0,NORMAL,NORMAL
60,2268.52,18.71,0.9796,0.212,2766.65,500.44,107.51,36.05,77.68,5.04,0.202,0.026316235788733842,24.507205402217803,13.999518437679757,13.570966331474764,0.0,NORMAL,NORMAL
61,3645.5,13.52,0.8502,0.559,3960.27,578.97,133.18,45.48,88.69,12.9,0.516,0.040548026805643414,23.39452483565516,13.976747146785714,17.541471528046962,0.0,NORMAL,NORMAL
62,2122.26,30.48,0.9942,0.518,3875.1,573.36,139.65,44.8,92.88,12.34,0.493,0.040470273846447156,23.160659821919836,13.884011458999643,17.394950096410557,0.0,NORMAL,NORMAL
63,2844.34,8.51,0.9238,0.779,4776.9,632.69,150.02,51.92,95.78,18.27,0.731,0.048967451531461856,22.724997553627514,14.061789255586381,21.111055422962014,0.0,NORMAL,NORMAL
64,1863.39,30.27,1.0204,0.423,3540.94,551.38,131.63,42.17,89.3,10.14,0.406,0.03324624741126903,23.721501965096216,14.03681922324663,16.108956675697645,0.0,NORMAL,NORMAL
65,1915.26,15.67,1.0151,0.82,4980.72,646.1,158.43,53.53,100.08,19.61,0.784,0.04394262797323556,22.18128211880643,13.998566897172518,22.47961200117971,0.0,NORMAL,NORMAL
66,3767.71,11.8,0.8394,0.444,3555.56,552.34,122.74,42.28,83.91,10.23,0.409,0.035169311780859955,23.16661818761573,14.059319488564366,16.151848891274074,0.0,NORMAL,NORMAL
67,738.63,21.42,1.1405,0.85,5173.7,658.8,165.88,55.06,103.83,20.88,0.835,0.04262003885078367,22.278017317696353,13.89982534017084,21.709669928571444,0.0,NORMAL,NORMAL
68,969.08,29.41,1.115,0.54,4007.4,582.07,142.25,45.85,93.95,13.21,0.528,0.032574979104548825,23.481120403852312,14.093410395318674,17.54963699114568,0.0,NORMAL,NORMAL
69,4311.07,28.22,0.7926,0.631,4186.62,593.86,145.9,47.26,95.48,14.39,0.575,0.03591647815653854,23.23148063940432,13.928425436466984,18.436872976332758,0.0,NORMAL,NORMAL
70,4809.59,17.16,0.7514,0.793,4721.94,629.07,153.05,51.49,97.8,17.91,0.716,0.042851497190856395,22.52493332828604,14.072213165284635,21.141106938587765,0.0,NORMAL,NORMAL
71,4487.9,24.56,0.7778,0.571,3971.17,579.68,138.97,45.56,92.12,12.97,0.519,0.03830777220612712,23.18285653759467,14.096359575949457,16.92084451569996,0.0,NORMAL,NORMAL
72,1766.69,28.04,1.0303,0.328,3196.82,528.74,122.37,39.45,85.01,7.87,0.315,0.030177983729963317,24.194357983260332,13.904179234869124,14.670541405191985,0.0,NORMAL,NORMAL
73,220.59,34.92,1.1993,0.769,4907.76,641.3,166.33,52.96,105.08,19.13,0.765,0.04393572250542353,22.693868269395946,13.921113523582441,21.290540867066774,0.0,NORMAL,NORMAL
74,4331.84,12.29,0.7908,0.631,4184.9,593.74,137.89,47.25,90.69,14.37,0.575,0.03729946496058432,23.578322111083992,14.165136361364805,19.232511152297462,0.0,NORMAL,NORMAL
75,1139.17,37.39,1.0965,0.667,4466.41,612.26,157.11,49.47,101.18,16.23,0.649,0.03861821973561725,23.44485920879369,14.07659157757571,19.771030284230335,0.0,NORMAL,NORMAL
76,2301.78,31.16,0.9763,0.56,4021.29,582.98,143.45,45.96,94.62,13.3,0.532,0.040736797061812845,23.315691047156406,13.913331639784257,17.78805392620644,0.0,NORMAL,NORMAL
77,3587.4,16.25,0.8554,0.247,2866.84,507.03,108.65,36.84,78.0,5.7,0.228,0.02834874727498961,24.64942835404969,14.123248972009149,13.109131474209503,0.0,NORMAL,NORMAL
78,597.21,32.21,1.1563,0.93,5483.8,679.2,178.61,57.5,110.33,22.92,0.917,0.04662117698339425,21.852926910632565,13.833707242244492,23.877921525925252,0.0,NORMAL,NORMAL
79,4764.95,37.97,0.755,0.53,3820.96,569.8,142.11,44.38,94.56,11.98,0.479,0.03254887508509946,23.886956312812263,13.942262019114377,16.740530204102583,0.0,NORMAL,NORMAL
80,3561.15,14.32,0.8577,0.989,5476.76,678.73,169.5,57.45,104.89,22.87,0.915,0.047827177775355445,22.51616793955016,13.94487542034061,23.36682043727606,0.0,NORMAL,NORMAL
81,4524.85,34.94,0.7747,0.258,2890.02,508.55,118.55,37.03,83.85,5.86,0.234,0.030316630210816046,24.30072402058051,13.946753393339696,14.079128284212011,0.0,NORMAL,NORMAL
82,60.56,30.86,1.2179,0.799,5031.36,649.43,167.23,53.93,105.17,19.94,0.798,0.04877275737862749,22.511768390446164,14.005912913726595,21.800780418478812,0.0,NORMAL,NORMAL
83,3477.74,22.11,0.8652,0.767,4700.98,627.7,155.03,51.32,99.07,17.77,0.711,0.03946887071765566,22.633671469743014,14.088854953299586,21.239430980621457,0.0,NORMAL,NORMAL
84,4870.37,5.27,0.7465,0.371,3271.48,533.65,112.75,40.04,78.96,8.37,0.335,0.0305986391641537,24.113291675248494,13.919249172319097,14.139044300142215,0.0,NORMAL,NORMAL
85,2853.91,9.81,0.9229,0.355,3264.53,533.19,114.86,39.98,80.26,8.32,0.333,0.029510337317909918,24.385139592261275,14.078214102126081,14.89542433677195,0.0,NORMAL,NORMAL
86,3298.04,33.32,0.8816,0.872,5082.07,652.77,169.65,54.33,106.44,20.28,0.811,0.03967311437689317,22.90875137575722,13.965949907274435,22.08708059147885,0.0,NORMAL,NORMAL
87,545.22,34.03,1.1622,0.249,2933.65,511.42,119.13,37.37,84.04,6.14,0.246,0.030003759700841258,24.20975728396427,13.891552378787807,13.81048984337549,0.0,NORMAL,NORMAL
88,1183.38,33.87,1.0918,0.398,3469.84,546.7,131.75,41.6,89.63,9.67,0.387,0.03100427709569108,24.357159724931115,14.105525151917954,14.884967839541307,0.0,NORMAL,NORMAL
89,4929.95,14.49,0.7417,0.681,4332.38,603.45,142.49,48.41,92.9,15.34,0.614,0.0365194054083253,23.16187639999727,14.028211521317205,18.799378501049286,0.0,NORMAL,NORMAL
90,1967.36,6.12,1.0098,0.263,2955.23,512.84,105.68,37.54,75.89,6.28,0.251,0.022597800859144163,23.96220746928464,13.936082898227493,13.787530926841923,0.0,NORMAL,NORMAL
91,1345.96,24.37,1.0744,0.823,5032.15,649.48,164.0,53.94,103.23,19.95,0.798,0.0378516598588134,22.49279257770829,13.881836838346434,21.394090786060797,0.0,NORMAL,NORMAL
92,4385.03,34.09,0.7864,0.789,4729.9,629.6,161.7,51.55,102.96,17.96,0.718,0.051917979700986105,22.684508198909263,14.086680019280564,21.10919030878067,0.0,NORMAL,NORMAL
93,894.17,31.07,1.1233,0.776,4887.57,639.97,163.93,52.8,103.72,19.0,0.76,0.042382935245959,22.069448805752266,14.086914227418372,21.727506669494662,0.0,NORMAL,NORMAL
94,1243.09,17.13,1.0854,0.575,4121.61,589.58,138.81,46.75,91.47,13.96,0.558,0.0323583052148796,23.279299366832998,13.964725216655108,19.01719014882724,0.0,NORMAL,NORMAL
95,2979.81,8.66,0.911,0.695,4472.75,612.68,142.89,49.52,92.63,16.27,0.651,0.03727694143664392,23.257233026631493,14.023568179793752,19.139255563141287,0.0,NORMAL,NORMAL
96,1455.64,19.03,1.0627,0.316,3162.07,526.45,117.04,39.17,81.94,7.65,0.306,0.03040208320017405,23.97385642197001,13.921957281955365,15.111178910259682,0.0,NORMAL,NORMAL
97,4306.92,38.88,0.7929,0.729,4527.16,616.26,159.29,49.95,102.27,16.63,0.665,0.03386323017053228,23.078234247491473,13.90967213541164,20.43126352888506,0.0,NORMAL,NORMAL
98,2106.48,19.39,0.9958,0.205,2741.24,498.77,107.25,35.85,77.62,4.88,0.195,0.028476498071044354,23.920306843093456,13.805577824363116,12.138453190240243,0.0,NORMAL,NORMAL
99,1602.12,33.57,1.0474,0.793,4905.02,641.12,165.59,52.93,104.65,19.11,0.764,0.04126317104318256,22.67419129773799,14.0095281402669,21.915151744821554,0.0,NORMAL,NORMAL
100,1988.43,8.0,1.0077,0.75,4723.62,629.19,148.51,51.5,95.07,17.92,0.717,0.042713742521515996,23.320056189622566,14.010006973162685,20.99308233018638,0.0,NORMAL,NORMAL
101,4171.81,10.09,0.8044,0.853,4962.98,644.93,155.22,53.39,98.22,19.49,0.78,0.0433403985121025,22.670419619817682,14.003809518774291,21.22520332716745,0.0,NORMAL,NORMAL
102,4116.62,39.93,0.8091,0.709,4465.93,612.23,158.37,49.47,101.94,16.22,0.649,0.04386214527998822,22.75826183826404,14.003380151389154,19.534220219425503,0.0,NORMAL,NORMAL
103,3067.3,14.52,0.9028,0.489,3737.08,564.28,128.4,43.71,86.64,11.43,0.457,0.030823701449092578,23.37542174003017,13.963399428542163,16.83948672051669,0.0,NORMAL,NORMAL
104,2007.58,11.12,1.0057,0.617,4241.24,597.45,138.64,47.69,90.93,14.74,0.59,0.04258263240593378,22.843052161992155,14.002003252914973,19.106378366261968,0.0,NORMAL,NORMAL
105,2738.31,31.45,0.9339,0.986,5522.58,681.75,179.15,57.81,110.51,23.17,0.927,0.04243514249591792,22.066313647093068,14.020959593983985,23.847862867354642,0.0,NORMAL,NORMAL
106,524.46,20.17,1.1645,0.656,4462.28,611.99,148.4,49.44,95.97,16.2,0.648,0.0404625829283013,23.159337079281617,13.925881924722729,19.376439710721325,0.0,NORMAL,NORMAL
107,880.93,9.38,1.1247,0.819,5050.06,650.66,156.93,54.08,98.92,20.07,0.803,0.04083522003262105,22.98701358209347,14.007878963541295,21.12800965119359,0.0,NORMAL,NORMAL
108,1033.66,29.41,1.108,0.89,5302.16,667.25,172.92,56.07,107.58,21.72,0.869,0.048555517687307925,22.44781008821486,14.270838621921488,22.84275778680054,0.0,NORMAL,NORMAL
109,1305.96,22.52,1.0786,0.497,3832.7,570.57,134.66,44.47,90.05,12.06,0.482,0.0345431542844425,24.19460283100578,14.007488529533115,16.195345364551514,0.0,NORMAL,NORMAL
110,4620.09,7.71,0.7669,0.801,4760.21,631.59,149.23,51.79,95.37,18.16,0.726,0.042944066712371394,22.63265150451244,14.207761532783266,20.918906810651496,0.0,NORMAL,NORMAL
111,4487.32,5.56,0.7778,0.26,2899.18,509.16,104.08,37.1,75.13,5.92,0.237,0.02704306846828787,24.96469453982097,14.078597269633136,13.821639656586973,0.0,NORMAL,NORMAL
112,2622.91,23.99,0.945,0.95,5404.26,673.96,172.62,56.88,107.03,22.4,0.896,0.04080627151898161,22.26865623784515,13.970021433757758,23.568414754962763,0.0,NORMAL,NORMAL
113,4416.71,7.02,0.7837,0.276,2953.61,512.74,106.09,37.53,76.14,6.27,0.251,0.026521852246872278,24.598371437534617,14.06219752132751,13.356560910987941,0.0,NORMAL,NORMAL
114,1941.98,10.37,1.0124,0.839,5050.33,650.68,157.43,54.08,99.22,20.07,0.803,0.04513620395922309,22.85403715329551,13.965921756006177,22.361041230791077,0.0,NORMAL,NORMAL
115,2884.54,13.33,0.92,0.496,3765.7,566.16,128.48,43.94,86.58,11.62,0.465,0.036236351822299236,23.85567159543875,13.99773170499962,17.363199062566913,0.0,NORMAL,NORMAL
116,53.82,11.2,1.2187,0.351,3333.31,537.72,117.18,40.53,81.39,8.77,0.351,0.03500180408698808,23.82076276794967,14.044417430476667,15.398204816185258,0.0,NORMAL,NORMAL
117,2107.73,15.02,0.9956,0.869,5147.83,657.09,162.07,54.85,101.64,20.71,0.828,0.0429544806733826,22.43444655718487,14.023898370187403,22.528747800197515,0.0,NORMAL,NORMAL
118,1108.4,39.32,1.0999,0.887,5284.91,666.11,177.46,55.93,110.38,21.61,0.864,0.042232462273951984,22.436198133204314,14.133970158510296,23.612103352220874,0.0,NORMAL,NORMAL
119,2885.64,31.06,0.9199,0.981,5495.59,679.97,178.32,57.6,110.11,23.0,0.92,0.0440149125946181,22.301329346100644,14.006970370110785,24.067651501175447,0.0,NORMAL,NORMAL
120,3477.59,13.99,0.8653,0.856,5015.39,648.38,158.41,53.81,99.94,19.84,0.794,0.04852020846488867,22.92467937033435,14.10974888020317,22.817270972522966,0.0,NORMAL,NORMAL
121,3884.3,26.29,0.8292,0.544,3900.67,575.04,138.16,45.01,91.89,12.5,0.5,0.03682748190116636,23.631887413516274,13.92475257213821,17.46612951038307,0.0,NORMAL,NORMAL
122,579.66,31.01,1.1583,0.652,4444.42,610.82,153.4,49.3,99.03,16.08,0.643,0.03661998265717684,22.94122853788005,14.019375183207123,19.020522648267324,0.0,NORMAL,NORMAL
123,1434.43,9.55,1.065,0.812,4983.91,646.31,155.45,53.56,98.27,19.63,0.785,0.04478975640301044,22.29242769566354,14.081328388856582,22.01566470824888,0.0,NORMAL,NORMAL
124,192.51,6.4,1.2025,0.657,4485.55,613.52,142.07,49.62,92.08,16.35,0.654,0.03781141871448071,22.916306685759288,13.894427969686541,20.71230906101348,0.0,NORMAL,NORMAL
125,812.42,7.58,1.1323,0.575,4144.66,591.1,134.59,46.93,88.85,14.11,0.564,0.04165202217368989,23.137232117681535,14.030680963308408,19.308830037828017,0.0,NORMAL,NORMAL
126,2155.21,17.95,0.9909,0.663,4397.96,607.76,145.77,48.93,94.63,15.78,0.631,0.036450223933271804,23.011508595492348,14.175795410501225,19.368907841956602,0.0,NORMAL,NORMAL
127,1763.97,24.05,1.0306,0.205,2749.43,499.3,109.78,35.92,79.1,4.93,0.197,0.024213997921755017,24.628274161406473,14.100286499597876,12.687487671486325,0.0,NORMAL,NORMAL
128,3176.28,5.48,0.8927,0.469,3659.67,559.19,122.05,43.1,83.11,10.92,0.437,0.03194522980701344,24.44684449465483,13.906276606894433,15.97503797906871,0.0,NORMAL,NORMAL
129,3078.51,12.51,0.9018,0.452,3604.61,555.57,124.26,42.67,84.64,10.56,0.422,0.03143563664743792,23.964418677003714,13.96288848860666,15.474624242933086,0.0,NORMAL,NORMAL
130,1981.75,28.95,1.0083,0.647,4349.04,604.54,150.11,48.55,97.41,15.45,0.618,0.04089172437043273,23.08276790799154,13.936229277818022,19.09794928031074,0.0,NORMAL,NORMAL
131,2253.17,32.8,0.9811,0.644,4324.56,602.93,151.46,48.35,98.31,15.29,0.612,0.034734552721499036,23.188696263051845,13.793779848307873,19.845382483461474,0.0,NORMAL,NORMAL
132,3760.37,37.24,0.84,0.76,4661.86,625.12,161.66,51.01,103.19,17.51,0.7,0.04831243804609075,22.408048609668032,14.050968700455444,20.257304268084734,0.0,NORMAL,NORMAL
133,4780.53,29.92,0.7538,0.869,4984.85,646.37,165.66,53.56,104.4,19.64,0.785,0.04231377480465966,22.4205857091818,14.058048997101007,20.926301362379604,0.0,NORMAL,NORMAL
134,1067.1,10.37,1.1043,0.515,3907.5,575.49,130.36,45.06,87.19,12.55,0.502,0.03711079333505567,24.220291135322178,13.97997799921681,16.363030753902663,0.0,NORMAL,NORMAL
135,3483.25,15.39,0.8647,0.291,3025.97,517.5,112.0,38.1,79.42,6.75,0.27,0.03650649573236472,24.518719193124735,14.062220158250486,14.82620778898242,0.0,NORMAL,NORMAL
136,975.0,15.29,1.1144,0.904,5357.21,670.87,167.16,56.5,103.93,22.09,0.883,0.045268498476749235,22.828691811171943,13.937740074855741,23.755286543818055,0.0,NORMAL,NORMAL
137,644.61,12.52,1.151,0.623,4330.13,603.3,141.45,48.4,92.28,15.33,0.613,0.03321672264783312,23.13552042146686,13.998948960165322,19.195294975711857,0.0,NORMAL,NORMAL
138,2205.83,39.33,0.9858,0.267,2965.21,513.5,122.52,37.62,85.96,6.35,0.254,0.02633708695074632,23.975543722046726,13.994730092086504,14.231067277551782,0.0,NORMAL,NORMAL
139,2216.39,14.22,0.9848,0.902,5260.56,664.51,164.34,55.74,102.59,21.45,0.858,0.04490517822345349,22.539888349204787,13.980039921136623,23.052660163654767,0.0,NORMAL,NORMAL
